Subject ID,Player Name,Group,Time from TOA (months),Chronological Age,Height (cm),Sitting Height (cm),Leg Length (cm),Weight (kg),TOA Age,TOA Height,PHVA Age,PHVA Height,FHA Age,FHA Height,Maturity Offset,Growth Tempo,Father's Height (cm),Mother's Height (cm),Predicted Adult Height (cm),A,B,C,D,% Pred Adult Height,Bio Band
Early_1,Liam Sanchez,Early,30,11.33,139.75,76.64,75.49,42.18,8.83,131.57,14.15,162.50,17.15,154.86,-2.82,2.80,186,164.4,179.94,-10.01,0.74,-0.00242,0.58,0.78,Pre-Pubertal
Early_1,Liam Sanchez,Early,33,11.58,140.45,77.3,76.84,42.4,8.83,131.57,14.22,162.98,17.22,155.07,-2.64,2.80,186,164.4,180.46,-10.01,0.74,-0.00242,0.58,0.78,Pre-Pubertal
Early_1,Liam Sanchez,Early,36,11.83,141.15,78.99,78.17,43.73,8.83,131.57,14.18,163.22,17.18,154.96,-2.35,2.80,186,164.4,180.96,-10.01,0.74,-0.00242,0.58,0.78,Pre-Pubertal
Early_1,Liam Sanchez,Early,39,12.08,141.85,79.69,79.08,44.54,8.83,131.57,14.24,161.09,17.24,155.13,-2.16,2.80,186,164.4,177.44,-8.61,0.64,-0.00167,0.62,0.80,Pre-Pubertal
Early_1,Liam Sanchez,Early,42,12.33,142.55,80.7,79.76,44.47,8.83,131.57,14.27,161.43,17.27,228.81,-1.94,11.52,186,164.4,177.89,-8.61,0.64,-0.00167,0.62,0.80,Pre-Pubertal
Early_1,Liam Sanchez,Early,45,12.58,145.43,82.14,81.19,46.15,8.83,131.57,14.24,162.55,17.24,240.63,-1.66,12.96,186,164.4,179.71,-8.61,0.64,-0.00167,0.62,0.81,Pre-Pubertal
Early_1,Liam Sanchez,Early,48,12.83,148.67,82.51,82.43,47.17,8.83,131.57,14.34,164.07,17.34,212.56,-1.51,9.52,186,164.4,181.77,-8.61,0.64,-0.00167,0.62,0.82,Pre-Pubertal
Early_1,Liam Sanchez,Early,51,13.08,151.05,84.15,82.66,47.68,8.83,131.57,14.28,161.74,17.28,236.70,-1.20,12.44,186,164.4,178.34,-7.13,0.59,-0.00116,0.61,0.85,Pre-Pubertal
Early_1,Liam Sanchez,Early,54,13.33,154.16,84.57,84.59,47.35,8.83,131.57,14.36,163.09,17.36,247.95,-1.03,13.64,186,164.4,180.19,-7.13,0.59,-0.00116,0.61,0.86,PHV Initial Stage
Early_1,Liam Sanchez,Early,57,13.58,157.57,85.74,86.12,48.74,8.83,131.57,14.35,164.38,17.35,275.43,-0.77,16.88,186,164.4,182.20,-7.13,0.59,-0.00116,0.61,0.86,PHV Initial Stage
Early_1,Liam Sanchez,Early,60,13.83,161.79,86.46,87.06,49.88,8.83,131.57,14.39,166.08,17.39,276.14,-0.56,16.88,186,164.4,184.69,-7.13,0.59,-0.00116,0.61,0.88,PHV Initial Stage
Early_2,Noah Thompson,Early,0,8.81,130.6,66.69,64.05,35.34,8.81,130.60,13.58,165.87,16.58,203.65,-4.77,9.40,182.2,179.1,188.04,-11.12,1.07,-0.00463,0.43,0.69,Pre-Pubertal
Early_2,Noah Thompson,Early,3,9.06,132.95,67.46,65.36,36.6,8.81,130.60,13.67,164.48,16.67,162.04,-4.61,4.00,182.2,179.1,185.40,-11.14,1.02,-0.00433,0.44,0.72,Pre-Pubertal
Early_2,Noah Thompson,Early,6,9.31,133.95,67.84,66.45,37.14,8.81,130.60,13.79,165.43,16.79,209.76,-4.48,9.92,182.2,179.1,186.40,-11.14,1.02,-0.00433,0.44,0.72,Pre-Pubertal
Early_2,Noah Thompson,Early,9,9.56,136.43,68.68,68.32,38.3,8.81,130.60,13.87,167.20,16.87,196.99,-4.31,8.24,182.2,179.1,188.91,-11.14,1.02,-0.00433,0.44,0.72,Pre-Pubertal
Early_2,Noah Thompson,Early,12,9.81,138.49,69.13,68.37,38.99,8.81,130.60,13.98,168.82,16.98,187.80,-4.17,7.00,182.2,179.1,191.00,-11.14,1.02,-0.00433,0.44,0.73,Pre-Pubertal
Early_2,Noah Thompson,Early,15,10.06,140.24,70.49,70.09,39.89,8.81,130.60,14.01,166.91,17.01,189.95,-3.95,7.24,182.2,179.1,187.86,-10.83,0.90,-0.00348,0.50,0.75,Pre-Pubertal
Early_2,Noah Thompson,Early,18,10.31,142.05,69.99,71.69,40.84,8.81,130.60,14.20,168.42,17.20,206.47,-3.89,9.04,182.2,179.1,189.47,-10.83,0.90,-0.00348,0.50,0.75,Pre-Pubertal
Early_2,Noah Thompson,Early,21,10.56,144.31,70.66,72.96,40.75,8.81,130.60,14.29,169.95,17.29,189.96,-3.73,7.00,182.2,179.1,191.49,-10.83,0.90,-0.00348,0.50,0.75,Pre-Pubertal
Early_2,Noah Thompson,Early,24,10.81,146.06,72.19,73.44,41.86,8.81,130.60,14.29,170.96,17.29,185.23,-3.48,6.44,182.2,179.1,193.04,-10.83,0.90,-0.00348,0.50,0.76,Pre-Pubertal
Early_2,Noah Thompson,Early,27,11.06,147.67,71.97,74.47,42.88,8.81,130.60,14.46,168.75,17.46,174.56,-3.40,5.08,182.2,179.1,188.99,-10.01,0.74,-0.00242,0.58,0.78,Pre-Pubertal
Early_2,Noah Thompson,Early,30,11.31,148.94,72.86,75.85,44.24,8.81,130.60,14.52,169.49,17.52,200.30,-3.21,8.00,182.2,179.1,189.91,-10.01,0.74,-0.00242,0.58,0.78,Pre-Pubertal
Early_2,Noah Thompson,Early,33,11.56,150.94,73.21,77.57,43.9,8.81,130.60,14.64,170.73,17.64,213.92,-3.08,9.44,182.2,179.1,191.40,-10.01,0.74,-0.00242,0.58,0.79,Pre-Pubertal
Early_2,Noah Thompson,Early,36,11.81,153.3,74.3,78.04,45.24,8.81,130.60,14.67,171.96,17.67,196.52,-2.86,7.44,182.2,179.1,193.13,-10.01,0.74,-0.00242,0.58,0.79,Pre-Pubertal
Early_2,Noah Thompson,Early,39,12.06,155.16,74.73,79.35,45.4,8.81,130.60,14.77,169.67,17.77,201.93,-2.71,7.96,182.2,179.1,189.33,-8.61,0.64,-0.00167,0.62,0.82,Pre-Pubertal
Early_2,Noah Thompson,Early,42,12.31,157.15,75.18,80.99,46.84,8.81,130.60,14.87,170.72,17.87,175.90,-2.56,5.00,182.2,179.1,190.59,-8.61,0.64,-0.00167,0.62,0.82,Pre-Pubertal
Early_2,Noah Thompson,Early,45,12.56,158.4,75.75,82.2,47.18,8.81,130.60,14.95,171.44,17.95,245.09,-2.39,12.52,182.2,179.1,191.38,-8.61,0.64,-0.00167,0.62,0.83,Pre-Pubertal
Early_2,Noah Thompson,Early,48,12.81,161.53,76.42,82.95,48.5,8.81,130.60,15.03,172.93,18.03,146.45,-2.22,1.72,182.2,179.1,193.37,-8.61,0.64,-0.00167,0.62,0.84,Pre-Pubertal
Early_2,Noah Thompson,Early,51,13.06,161.96,77.11,84.85,48.68,8.81,130.60,15.09,169.54,18.09,235.31,-2.03,11.28,182.2,179.1,188.14,-7.13,0.59,-0.00116,0.61,0.86,PHV Initial Stage
Early_2,Noah Thompson,Early,54,13.31,164.78,77.59,85.94,50.54,8.81,130.60,15.18,170.85,18.18,177.47,-1.87,5.00,182.2,179.1,189.80,-7.13,0.59,-0.00116,0.61,0.87,PHV Initial Stage
Early_2,Noah Thompson,Early,57,13.56,166.03,77.83,86.63,50.22,8.81,130.60,15.30,171.59,18.30,203.87,-1.74,7.72,182.2,179.1,190.54,-7.13,0.59,-0.00116,0.61,0.87,PHV Initial Stage
Early_2,Noah Thompson,Early,60,13.81,167.96,78.75,88.17,51.65,8.81,130.60,15.34,172.44,18.34,204.14,-1.53,7.72,182.2,179.1,191.67,-7.13,0.59,-0.00116,0.61,0.88,PHV Initial Stage
Early_3,Elijah Carter,Early,0,8.85,132.92,67.37,64.65,30.78,8.85,132.92,13.55,167.29,16.55,176.66,-4.70,5.68,186.9,167.9,189.23,-11.12,1.07,-0.00463,0.43,0.70,Pre-Pubertal
Early_3,Elijah Carter,Early,3,9.1,134.34,68.59,66.16,31.3,8.85,132.92,13.60,165.16,16.60,180.34,-4.50,6.12,186.9,167.9,185.53,-11.14,1.02,-0.00433,0.44,0.72,Pre-Pubertal
Early_3,Elijah Carter,Early,6,9.35,135.87,68.68,66.92,32.42,8.85,132.92,13.74,166.48,16.74,208.06,-4.39,9.52,186.9,167.9,187.06,-11.14,1.02,-0.00433,0.44,0.73,Pre-Pubertal
Early_3,Elijah Carter,Early,9,9.6,138.25,69.51,68.14,32.98,8.85,132.92,13.82,168.19,16.82,174.37,-4.22,5.20,186.9,167.9,189.48,-11.14,1.02,-0.00433,0.44,0.73,Pre-Pubertal
Early_3,Elijah Carter,Early,12,9.85,139.55,70.68,69.15,33.11,8.85,132.92,13.87,169.14,16.87,211.80,-4.02,9.84,186.9,167.9,190.81,-11.14,1.02,-0.00433,0.44,0.73,Pre-Pubertal
Early_3,Elijah Carter,Early,15,10.1,142.01,71.55,70.49,34.74,8.85,132.92,13.93,167.51,16.93,164.61,-3.83,3.92,186.9,167.9,187.92,-10.83,0.90,-0.00348,0.50,0.76,Pre-Pubertal
Early_3,Elijah Carter,Early,18,10.35,142.99,71.85,71.36,35.27,8.85,132.92,14.05,168.36,17.05,224.48,-3.70,11.16,186.9,167.9,188.79,-10.83,0.90,-0.00348,0.50,0.76,Pre-Pubertal
Early_3,Elijah Carter,Early,21,10.6,145.78,74.04,72.42,36.26,8.85,132.92,13.99,169.77,16.99,200.33,-3.39,8.28,186.9,167.9,191.27,-10.83,0.90,-0.00348,0.50,0.76,Pre-Pubertal
Early_3,Elijah Carter,Early,24,10.85,147.85,73.83,73.19,36.86,8.85,132.92,14.16,171.38,17.16,165.48,-3.31,3.92,186.9,167.9,193.11,-10.83,0.90,-0.00348,0.50,0.77,Pre-Pubertal
Early_3,Elijah Carter,Early,27,11.1,148.83,74.32,74.18,37.33,8.85,132.92,14.25,168.35,17.25,246.88,-3.15,13.56,186.9,167.9,188.02,-10.01,0.74,-0.00242,0.58,0.79,Pre-Pubertal
Early_3,Elijah Carter,Early,30,11.35,152.22,74.58,75.57,37.4,8.85,132.92,14.37,170.25,17.37,148.26,-3.02,1.80,186.9,167.9,190.54,-10.01,0.74,-0.00242,0.58,0.80,Pre-Pubertal
Early_3,Elijah Carter,Early,33,11.6,152.67,76.22,76.42,38.36,8.85,132.92,14.35,170.40,17.35,191.72,-2.75,6.92,186.9,167.9,190.86,-10.01,0.74,-0.00242,0.58,0.80,Pre-Pubertal
Early_3,Elijah Carter,Early,36,11.85,154.4,76.85,77.22,39.63,8.85,132.92,14.42,171.41,17.42,209.05,-2.57,8.88,186.9,167.9,192.12,-10.01,0.74,-0.00242,0.58,0.80,Pre-Pubertal
Early_3,Elijah Carter,Early,39,12.1,156.62,77.2,79.12,40.54,8.85,132.92,14.53,169.14,17.53,161.38,-2.43,3.28,186.9,167.9,188.28,-8.61,0.64,-0.00167,0.62,0.83,Pre-Pubertal
Early_3,Elijah Carter,Early,42,12.35,157.44,78.2,79.32,41.37,8.85,132.92,14.56,169.55,17.56,218.63,-2.21,9.84,186.9,167.9,188.80,-8.61,0.64,-0.00167,0.62,0.83,Pre-Pubertal
Early_3,Elijah Carter,Early,45,12.6,159.9,78.86,80.7,42.13,8.85,132.92,14.63,170.73,17.63,190.50,-2.03,6.56,186.9,167.9,190.36,-8.61,0.64,-0.00167,0.62,0.84,Pre-Pubertal
Early_3,Elijah Carter,Early,48,12.85,161.54,79.55,81.45,42.26,8.85,132.92,14.69,171.56,17.69,250.66,-1.84,13.32,186.9,167.9,191.41,-8.61,0.64,-0.00167,0.62,0.84,Pre-Pubertal
Early_3,Elijah Carter,Early,51,13.1,164.87,80.52,82.25,43.64,8.85,132.92,14.72,169.30,17.72,204.56,-1.62,8.08,186.9,167.9,187.90,-7.13,0.59,-0.00116,0.61,0.88,PHV Initial Stage
Early_3,Elijah Carter,Early,54,13.35,166.89,81.46,83.21,43.82,8.85,132.92,14.74,170.15,17.74,183.44,-1.39,5.68,186.9,167.9,189.10,-7.13,0.59,-0.00116,0.61,0.88,PHV Initial Stage
Early_3,Elijah Carter,Early,57,13.6,168.31,81.69,84.84,45.07,8.85,132.92,14.86,170.94,17.86,159.94,-1.26,3.00,186.9,167.9,189.93,-7.13,0.59,-0.00116,0.61,0.89,PHV Initial Stage
Early_3,Elijah Carter,Early,60,13.85,169.06,82.64,84.77,45.1,8.85,132.92,14.88,171.28,17.88,160.00,-1.03,3.00,186.9,167.9,190.38,-7.13,0.59,-0.00116,0.61,0.89,PHV Initial Stage
Early_4,Mateo Rodriguez,Early,0,8.93,131.08,67,64.77,32.68,8.93,131.08,13.63,165.21,16.63,198.22,-4.70,8.72,192.1,161.7,187.00,-11.12,1.07,-0.00463,0.43,0.70,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,3,9.18,133.26,67.68,64.99,34.25,8.93,131.08,13.73,163.72,16.73,159.15,-4.55,3.60,192.1,161.7,184.13,-11.14,1.02,-0.00433,0.44,0.72,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,6,9.43,134.16,68.22,66.26,34.72,8.93,131.08,13.83,164.56,16.83,173.44,-4.40,5.36,192.1,161.7,185.04,-11.14,1.02,-0.00433,0.44,0.73,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,9,9.68,135.5,69.31,67.66,35.18,8.93,131.08,13.89,165.55,16.89,207.16,-4.21,9.56,192.1,161.7,186.40,-11.14,1.02,-0.00433,0.44,0.73,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,12,9.93,137.89,69.25,68.09,36.72,8.93,131.08,14.05,167.47,17.05,145.69,-4.12,1.80,192.1,161.7,188.81,-11.14,1.02,-0.00433,0.44,0.73,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,15,10.18,138.34,70.36,69.02,37.1,8.93,131.08,14.09,164.77,17.09,162.11,-3.91,3.80,192.1,161.7,184.34,-10.83,0.90,-0.00348,0.50,0.75,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,18,10.43,139.29,71.52,70.14,37.83,8.93,131.08,14.14,165.40,17.14,200.66,-3.71,8.48,192.1,161.7,185.17,-10.83,0.90,-0.00348,0.50,0.75,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,21,10.68,141.41,72.07,71.23,39.16,8.93,131.08,14.23,166.82,17.23,148.34,-3.55,2.08,192.1,161.7,187.05,-10.83,0.90,-0.00348,0.50,0.76,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,24,10.93,141.93,72.53,72.16,39.96,8.93,131.08,14.33,167.36,17.33,190.91,-3.40,7.12,192.1,161.7,187.50,-10.83,0.90,-0.00348,0.50,0.76,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,27,11.18,143.71,73.45,73.26,40.29,8.93,131.08,14.39,165.17,17.39,187.25,-3.21,6.64,192.1,161.7,183.90,-10.01,0.74,-0.00242,0.58,0.78,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,30,11.43,145.37,74.07,73.76,41.77,8.93,131.08,14.47,166.13,17.47,183.02,-3.04,6.08,192.1,161.7,185.11,-10.01,0.74,-0.00242,0.58,0.79,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,33,11.68,146.89,75.09,75.17,42.15,8.93,131.08,14.51,166.95,17.51,176.05,-2.83,5.24,192.1,161.7,186.23,-10.01,0.74,-0.00242,0.58,0.79,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,36,11.93,148.2,75.47,75.83,42.9,8.93,131.08,14.62,167.81,17.62,168.96,-2.69,4.36,192.1,161.7,187.19,-10.01,0.74,-0.00242,0.58,0.79,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,39,12.18,149.29,76.46,76.43,44.6,8.93,131.08,14.65,165.31,17.65,160.05,-2.47,3.32,192.1,161.7,183.25,-8.61,0.64,-0.00167,0.62,0.81,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,42,12.43,150.12,76.64,77.97,44.88,8.93,131.08,14.78,165.91,17.78,208.59,-2.35,8.76,192.1,161.7,183.78,-8.61,0.64,-0.00167,0.62,0.82,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,45,12.68,152.31,77.91,78.57,45.02,8.93,131.08,14.78,166.84,17.78,170.37,-2.10,4.44,192.1,161.7,185.18,-8.61,0.64,-0.00167,0.62,0.82,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,48,12.93,153.42,78.23,79.82,46.12,8.93,131.08,14.89,167.52,17.89,164.39,-1.96,3.72,192.1,161.7,185.87,-8.61,0.64,-0.00167,0.62,0.83,Pre-Pubertal
Early_4,Mateo Rodriguez,Early,51,13.18,154.35,79.05,80.6,46.76,8.93,131.08,14.93,164.59,17.93,180.77,-1.75,5.52,192.1,161.7,181.35,-7.13,0.59,-0.00116,0.61,0.85,PHV Initial Stage
Early_4,Mateo Rodriguez,Early,54,13.43,155.73,79.94,81.5,47.6,8.93,131.08,14.97,165.20,17.97,187.11,-1.54,6.20,192.1,161.7,182.16,-7.13,0.59,-0.00116,0.61,0.85,PHV Initial Stage
Early_4,Mateo Rodriguez,Early,57,13.68,157.28,80.65,81.94,48.04,8.93,131.08,15.02,165.92,18.02,176.90,-1.34,5.04,192.1,161.7,183.07,-7.13,0.59,-0.00116,0.61,0.86,PHV Initial Stage
Early_4,Mateo Rodriguez,Early,60,13.93,158.54,81.24,83.42,50,8.93,131.08,15.09,166.54,18.09,177.25,-1.16,5.04,192.1,161.7,183.81,-7.13,0.59,-0.00116,0.61,0.86,PHV Initial Stage
Early_5,Lucas Bennett,Early,0,8.96,133.17,67.83,65.35,34.72,8.96,133.17,13.58,167.21,16.58,189.24,-4.62,7.36,181.6,172.9,189.33,-11.12,1.07,-0.00463,0.43,0.70,Pre-Pubertal
Early_5,Lucas Bennett,Early,3,9.21,135.01,69.33,66.03,35.96,8.96,133.17,13.60,165.29,16.60,183.62,-4.39,6.60,181.6,172.9,186.03,-11.14,1.02,-0.00433,0.44,0.73,Pre-Pubertal
Early_5,Lucas Bennett,Early,6,9.46,136.66,69.71,66.94,36.55,8.96,133.17,13.72,166.62,16.72,172.59,-4.26,5.08,181.6,172.9,187.71,-11.14,1.02,-0.00433,0.44,0.73,Pre-Pubertal
Early_5,Lucas Bennett,Early,9,9.71,137.93,70.55,67.68,37.49,8.96,133.17,13.80,167.61,16.80,203.70,-4.09,9.00,181.6,172.9,188.98,-11.14,1.02,-0.00433,0.44,0.73,Pre-Pubertal
Early_5,Lucas Bennett,Early,12,9.96,140.18,72.02,69.13,37.73,8.96,133.17,13.81,169.07,16.81,173.05,-3.85,5.08,181.6,172.9,191.27,-11.14,1.02,-0.00433,0.44,0.73,Pre-Pubertal
Early_5,Lucas Bennett,Early,15,10.21,141.45,72.74,69.94,38.46,8.96,133.17,13.89,166.81,16.89,156.01,-3.68,2.88,181.6,172.9,187.27,-10.83,0.90,-0.00348,0.50,0.76,Pre-Pubertal
Early_5,Lucas Bennett,Early,18,10.46,142.17,73.46,69.45,39.32,8.96,133.17,13.97,167.41,16.97,184.76,-3.51,6.44,181.6,172.9,187.90,-10.83,0.90,-0.00348,0.50,0.76,Pre-Pubertal
Early_5,Lucas Bennett,Early,21,10.71,143.78,74.64,71,41.02,8.96,133.17,14.00,168.36,17.00,211.00,-3.29,9.68,181.6,172.9,189.31,-10.83,0.90,-0.00348,0.50,0.76,Pre-Pubertal
Early_5,Lucas Bennett,Early,24,10.96,146.2,75.37,71.43,41.22,8.96,133.17,14.07,169.91,17.07,147.12,-3.11,1.72,181.6,172.9,191.47,-10.83,0.90,-0.00348,0.50,0.76,Pre-Pubertal
Early_5,Lucas Bennett,Early,27,11.21,146.63,77.05,72.86,41.58,8.96,133.17,14.04,166.55,17.04,177.48,-2.83,5.48,181.6,172.9,186.25,-10.01,0.74,-0.00242,0.58,0.79,Pre-Pubertal
Early_5,Lucas Bennett,Early,30,11.46,148,77.86,73.28,43.01,8.96,133.17,14.10,167.32,17.10,186.26,-2.64,6.52,181.6,172.9,187.25,-10.01,0.74,-0.00242,0.58,0.79,Pre-Pubertal
Early_5,Lucas Bennett,Early,33,11.71,149.63,78.23,74.12,43.28,8.96,133.17,14.20,168.33,17.20,203.72,-2.49,8.56,181.6,172.9,188.45,-10.01,0.74,-0.00242,0.58,0.79,Pre-Pubertal
Early_5,Lucas Bennett,Early,36,11.96,151.77,79.55,74.6,43.95,8.96,133.17,14.20,169.33,17.20,194.15,-2.24,7.40,181.6,172.9,190.03,-10.01,0.74,-0.00242,0.58,0.80,Pre-Pubertal
Early_5,Lucas Bennett,Early,39,12.21,153.62,80.47,75.94,44.3,8.96,133.17,14.24,167.00,17.24,157.67,-2.03,2.96,181.6,172.9,186.24,-8.61,0.64,-0.00167,0.62,0.82,Pre-Pubertal
Early_5,Lucas Bennett,Early,42,12.46,154.36,81.65,76.64,45.2,8.96,133.17,14.24,167.31,17.24,236.52,-1.78,12.48,181.6,172.9,186.70,-8.61,0.64,-0.00167,0.62,0.83,Pre-Pubertal
Early_5,Lucas Bennett,Early,45,12.71,157.48,82.25,77.69,46.27,8.96,133.17,14.31,168.73,17.31,193.94,-1.60,7.28,181.6,172.9,188.68,-8.61,0.64,-0.00167,0.62,0.83,Pre-Pubertal
Early_5,Lucas Bennett,Early,48,12.96,159.3,83.7,78.07,47.38,8.96,133.17,14.27,169.39,17.27,161.77,-1.31,3.44,181.6,172.9,189.84,-8.61,0.64,-0.00167,0.62,0.84,Pre-Pubertal
Early_5,Lucas Bennett,Early,51,13.21,160.16,84.54,78.66,48.01,8.96,133.17,14.31,166.37,17.31,192.27,-1.10,7.08,181.6,172.9,184.99,-7.13,0.59,-0.00116,0.61,0.87,PHV Initial Stage
Early_5,Lucas Bennett,Early,54,13.46,161.93,84.55,79.4,47.67,8.96,133.17,14.44,167.33,17.44,164.02,-0.98,3.64,181.6,172.9,186.04,-7.13,0.59,-0.00116,0.61,0.87,PHV Initial Stage
Early_5,Lucas Bennett,Early,57,13.71,162.84,86.25,81.01,49.26,8.96,133.17,14.36,167.50,17.36,217.85,-0.65,10.08,181.6,172.9,186.57,-7.13,0.59,-0.00116,0.61,0.87,PHV Initial Stage
Early_5,Lucas Bennett,Early,60,13.96,165.36,86.57,80.86,49.95,8.96,133.17,14.45,168.66,17.45,218.75,-0.49,10.08,181.6,172.9,188.06,-7.13,0.59,-0.00116,0.61,0.88,PHV Initial Stage
Early_6,James Ortiz,Early,0,8.81,132.87,68.3,65.53,34.47,8.81,132.87,13.45,165.36,16.45,193.65,-4.64,7.96,181.6,160.7,186.38,-11.12,1.07,-0.00463,0.43,0.71,Pre-Pubertal
Early_6,James Ortiz,Early,3,9.06,134.86,68.77,66.4,35.89,8.81,132.87,13.56,163.73,16.56,174.71,-4.50,5.40,181.6,160.7,183.22,-11.14,1.02,-0.00433,0.44,0.74,Pre-Pubertal
Early_6,James Ortiz,Early,6,9.31,136.21,70.23,67.26,35.85,8.81,132.87,13.58,164.64,16.58,196.31,-4.27,8.16,181.6,160.7,184.60,-11.14,1.02,-0.00433,0.44,0.74,Pre-Pubertal
Early_6,James Ortiz,Early,9,9.56,138.25,70.75,68.25,36.36,8.81,132.87,13.69,166.18,16.69,215.73,-4.13,10.52,181.6,160.7,186.68,-11.14,1.02,-0.00433,0.44,0.74,Pre-Pubertal
Early_6,James Ortiz,Early,12,9.81,140.88,72.07,69.2,37.59,8.81,132.87,13.72,167.91,16.72,150.26,-3.91,2.20,181.6,160.7,189.33,-11.14,1.02,-0.00433,0.44,0.74,Pre-Pubertal
Early_6,James Ortiz,Early,15,10.06,141.43,72.98,70.59,38.47,8.81,132.87,13.78,164.87,16.78,177.17,-3.72,5.56,181.6,160.7,184.20,-10.83,0.90,-0.00348,0.50,0.77,Pre-Pubertal
Early_6,James Ortiz,Early,18,10.31,142.82,73.86,71.32,37.91,8.81,132.87,13.84,165.81,16.84,168.21,-3.53,4.40,181.6,160.7,185.45,-10.83,0.90,-0.00348,0.50,0.77,Pre-Pubertal
Early_6,James Ortiz,Early,21,10.56,143.92,75.43,72.89,39.39,8.81,132.87,13.83,166.39,16.83,217.59,-3.27,10.56,181.6,160.7,186.41,-10.83,0.90,-0.00348,0.50,0.77,Pre-Pubertal
Early_6,James Ortiz,Early,24,10.81,146.56,76.11,74.32,40.61,8.81,132.87,13.91,168.05,16.91,173.03,-3.10,4.96,181.6,160.7,188.75,-10.83,0.90,-0.00348,0.50,0.78,Pre-Pubertal
Early_6,James Ortiz,Early,27,11.06,147.8,76.72,73.91,40.9,8.81,132.87,13.99,164.97,16.99,174.75,-2.93,5.12,181.6,160.7,183.56,-10.01,0.74,-0.00242,0.58,0.81,Pre-Pubertal
Early_6,James Ortiz,Early,30,11.31,149.08,77.57,75.19,41.05,8.81,132.87,14.04,165.69,17.04,225.75,-2.73,11.28,181.6,160.7,184.51,-10.01,0.74,-0.00242,0.58,0.81,Pre-Pubertal
Early_6,James Ortiz,Early,33,11.56,151.9,79.25,76.38,42.74,8.81,132.87,14.01,166.92,17.01,158.78,-2.45,3.16,181.6,160.7,186.58,-10.01,0.74,-0.00242,0.58,0.81,Pre-Pubertal
